# Separation [nm],Interaction energy [Hartree],Dipole moment [au]
1.000000000000000056e-01,1.741162412375700796e-01,2.885035715747252816e+00
1.102564102564102672e-01,1.195774557900506352e-01,3.036701049228749394e+00
1.205128205128205149e-01,8.005865514088839063e-02,3.158031079002820540e+00
1.307692307692307765e-01,5.137680683201040210e-02,3.254418748566707098e+00
1.410256410256410242e-01,3.041901085856579812e-02,3.327645770903238098e+00
1.512820512820512997e-01,1.520593844549011919e-02,3.377919587528478651e+00
1.615384615384615474e-01,4.525020530110168693e-03,3.406228901822772492e+00
1.717948717948717952e-01,-2.507482211896672197e-03,3.415523624861386942e+00
1.820512820512820706e-01,-6.706324661791995823e-03,3.410370392622841251e+00
1.923076923076923184e-01,-8.861425140196388384e-03,3.395755834254583938e+00
2.025641025641025661e-01,-9.670333532469044258e-03,3.375985085894219306e+00
2.128205128205128416e-01,-9.672986791230187009e-03,3.354161870543651780e+00
2.230769230769230893e-01,-9.238799783460649451e-03,3.332220339464708747e+00
2.333333333333333370e-01,-8.596126841524664997e-03,3.311215663640344697e+00
2.435897435897435848e-01,-7.876023965096123902e-03,3.291646519181687935e+00
2.538461538461538325e-01,-7.150068305904255794e-03,3.273696719135745337e+00
2.641025641025641080e-01,-6.455881848395961242e-03,3.257386052126892917e+00
2.743589743589743835e-01,-5.812164343893755358e-03,3.242654226914450266e+00
2.846153846153846034e-01,-5.226769310823442538e-03,3.229400383822476517e+00
2.948717948717948789e-01,-4.701313711734655953e-03,3.217506761992385389e+00
3.051282051282051544e-01,-4.233740585178225047e-03,3.206849092941939094e+00
3.153846153846153744e-01,-3.819968093736747505e-03,3.197303917277465324e+00
3.256410256410256499e-01,-3.454949175917931825e-03,3.188752978784267000e+00
3.358974358974359253e-01,-3.133312446138347696e-03,3.181085126569116017e+00
3.461538461538461453e-01,-2.849859161798917739e-03,3.174199685001203974e+00
3.564102564102563653e-01,-2.599736953072806500e-03,3.168005707153201733e+00
3.666666666666666963e-01,-2.378564789651704814e-03,3.162422013319984515e+00
3.769230769230769162e-01,-2.182489393788955567e-03,3.157377249465498359e+00
3.871794871794871362e-01,-2.008153519469146886e-03,3.152808781679735883e+00
3.974358974358974672e-01,-1.852646208405417383e-03,3.148661445521146351e+00
4.076923076923076872e-01,-1.713502722964221903e-03,3.144887872796751083e+00
4.179487179487179072e-01,-1.588587424308229856e-03,3.141446080101849336e+00
4.282051282051282382e-01,-1.476094169149178015e-03,3.138299859737856412e+00
4.384615384615384581e-01,-1.374480886823903347e-03,3.135417646297743666e+00
4.487179487179486781e-01,-1.282419769893294870e-03,3.132771606334293857e+00
4.589743589743590091e-01,-1.198788819664287075e-03,3.130337767492505030e+00
4.692307692307692291e-01,-1.122594148654343371e-03,3.128094374870663330e+00
4.794871794871794490e-01,-1.053010463820669429e-03,3.126023012426396797e+00
4.897435897435897800e-01,-9.893046073585765043e-04,3.124106983403025506e+00
5.000000000000000000e-01,-9.308512255756795639e-04,3.122331825364817792e+00
