# Separation [Bohr],Interaction energy [Hartree]
1.133835674739037103e+01,-3.655006815961314715e-05
1.118409339028301908e+01,-3.861462425902573159e-05
1.102983003317566713e+01,-4.082710637476338889e-05
1.087556667606831518e+01,-4.320053997730610718e-05
1.072130331896096322e+01,-4.574914370891747240e-05
1.056703996185361127e+01,-4.848876116625433497e-05
1.041277660474625932e+01,-5.143674596297387325e-05
1.025851324763890737e+01,-5.461252038685415755e-05
1.010424989053155542e+01,-5.803757994726765901e-05
9.949986533424203472e+00,-6.173579069468360103e-05
9.795723176316851522e+00,-6.573372962748180726e-05
9.641459819209499571e+00,-7.006101412798670935e-05
9.487196462102147620e+00,-7.475084871089165972e-05
9.332933104994793894e+00,-7.984029966223715746e-05
9.178669747887443719e+00,-8.537087219906425162e-05
9.024406390780091769e+00,-9.138943372022367839e-05
8.870143033672739818e+00,-9.794845283295217087e-05
8.715879676565387868e+00,-1.051071043036699848e-04
8.561616319458035917e+00,-1.129325606825659634e-04
8.407352962350683967e+00,-1.215006106463079050e-04
8.253089605243332016e+00,-1.308971493187982560e-04
8.098826248135978290e+00,-1.412202359745151625e-04
7.944562891028627227e+00,-1.525811907185925520e-04
7.790299533921276165e+00,-1.651072657011809497e-04
7.636036176813922438e+00,-1.789447364899388049e-04
7.481772819706571376e+00,-1.942601348048356158e-04
7.327509462599220313e+00,-2.112457318332872092e-04
7.173246105491867475e+00,-2.301219485616456950e-04
7.018982748384515524e+00,-2.511426917237713496e-04
6.864719391277163574e+00,-2.745986737977545999e-04
6.710456034169812511e+00,-3.008248005471614306e-04
6.556192677062459673e+00,-3.302008588548233092e-04
6.401929319955107722e+00,-3.631577563396604091e-04
6.247665962847755772e+00,-4.001739814327720524e-04
6.093402605740403821e+00,-4.417707792185865401e-04
5.939139248633051871e+00,-4.884910086104810034e-04
5.784875891525699920e+00,-5.408659250178970979e-04
5.630612534418347970e+00,-5.993426925385847426e-04
5.476349177310996019e+00,-6.641685050112755562e-04
5.322085820203644069e+00,-7.351921454414878099e-04
5.167822463096292118e+00,-8.115577061289513949e-04
5.013559105988940168e+00,-8.912176229216584034e-04
4.859295748881588217e+00,-9.701903140353351773e-04
4.705032391774235379e+00,-1.041476541132624334e-03
4.550769034666884316e+00,-1.093437167895672246e-03
4.396505677559532366e+00,-1.107490038037894919e-03
4.242242320452180415e+00,-1.054823623263700938e-03
4.087978963344827577e+00,-8.917187621477751236e-04
3.933715606237475626e+00,-5.530517549061642057e-04
3.779452249130123676e+00,5.687347882599169679e-05
