# Separation [Bohr],Interaction energy [Hartree]
1.133835674739037103e+01,-3.655007452607605956e-05
1.118409339028301908e+01,-3.861461132714794076e-05
1.102983003317566713e+01,-4.082711006958561484e-05
1.087556667606831518e+01,-4.320052556749942596e-05
1.072130331896096322e+01,-4.574914254362738575e-05
1.056703996185361127e+01,-4.848873933838149242e-05
1.041277660474625932e+01,-5.143674388818908483e-05
1.025851324763890737e+01,-5.461250847815790621e-05
1.010424989053155542e+01,-5.803756906175294716e-05
9.949986533424203472e+00,-6.173573547130217776e-05
9.795723176316851522e+00,-6.573367522832995746e-05
9.641459819209499571e+00,-7.006098212514189072e-05
9.487196462102147620e+00,-7.475081491747914697e-05
9.332933104994793894e+00,-7.984026817098310858e-05
9.178669747887443719e+00,-8.537093665950123977e-05
9.024406390780091769e+00,-9.138949181419775414e-05
8.870143033672739818e+00,-9.794845234978311055e-05
8.715879676565387868e+00,-1.051071920130652870e-04
8.561616319458035917e+00,-1.129326186912749108e-04
8.407352962350683967e+00,-1.215006786594585719e-04
8.253089605243332016e+00,-1.308971579021545040e-04
8.098826248135978290e+00,-1.412201301604909531e-04
7.944562891028627227e+00,-1.525811130420606787e-04
7.790299533921276165e+00,-1.651072960555666214e-04
7.636036176813922438e+00,-1.789445748556772742e-04
7.481772819706571376e+00,-1.942601312805436464e-04
7.327509462599220313e+00,-2.112456647012095345e-04
7.173246105491867475e+00,-2.301218326579146378e-04
7.018982748384515524e+00,-2.511423895725783950e-04
6.864719391277163574e+00,-2.745986837737746100e-04
6.710456034169812511e+00,-3.008246763442912197e-04
6.556192677062459673e+00,-3.302009274932515837e-04
6.401929319955107722e+00,-3.631578676674962480e-04
6.247665962847755772e+00,-4.001740743717618898e-04
6.093402605740403821e+00,-4.417706205686044996e-04
5.939139248633051871e+00,-4.884911756164456165e-04
5.784875891525699920e+00,-5.408662382819784398e-04
5.630612534418347970e+00,-5.993430697515123029e-04
5.476349177310996019e+00,-6.641682319923347677e-04
5.322085820203644069e+00,-7.351920777978193655e-04
5.167822463096292118e+00,-8.115583531775882875e-04
5.013559105988940168e+00,-8.912171039412442042e-04
4.859295748881588217e+00,-9.701906063526166690e-04
4.705032391774235379e+00,-1.041475603670960481e-03
4.550769034666884316e+00,-1.093437914505557274e-03
4.396505677559532366e+00,-1.107493719075591798e-03
4.242242320452180415e+00,-1.054825136577619560e-03
4.087978963344827577e+00,-8.917205163072594587e-04
3.933715606237475626e+00,-5.530544357554845192e-04
3.779452249130123676e+00,5.687520499009224295e-05
