# Separation [nm],Interaction energy [Hartree],Dipole moment [au]
1.000000000000000056e-01,1.834092156024240694e-01,3.432936864124373155e+00
1.102564102564102672e-01,1.245644176765097200e-01,3.424262286843751557e+00
1.205128205128205149e-01,8.218296876134445483e-02,3.429544871497395064e+00
1.307692307692307765e-01,5.191160586602450167e-02,3.441054326595283985e+00
1.410256410256410242e-01,3.023148928541274927e-02,3.452057866497609595e+00
1.512820512820512997e-01,1.480276555804493910e-02,3.457422357930791446e+00
1.615384615384615474e-01,4.151723747952473786e-03,3.454463309234247603e+00
1.717948717948717952e-01,-2.769184019456361057e-03,3.443113945322702651e+00
1.820512820512820706e-01,-6.859084578209717620e-03,3.425183260165757027e+00
1.923076923076923184e-01,-8.937671480225617415e-03,3.403199848824725926e+00
2.025641025641025661e-01,-9.702857937440967362e-03,3.379479174234319316e+00
2.128205128205128416e-01,-9.684518735213032414e-03,3.355690165815190085e+00
2.230769230769230893e-01,-9.241893124169564544e-03,3.332841434331104580e+00
2.333333333333333370e-01,-8.596504652444991734e-03,3.311449350044656015e+00
2.435897435897435848e-01,-7.875815170564237633e-03,3.291727588453579489e+00
2.538461538461538325e-01,-7.149870316155215733e-03,3.273722535653463606e+00
2.641025641025641080e-01,-6.455778286053259762e-03,3.257393563352422472e+00
2.743589743589743835e-01,-5.812122356203985873e-03,3.242656214178217589e+00
2.846153846153846034e-01,-5.226755054778209342e-03,3.229400859516421196e+00
2.948717948717948789e-01,-4.701309539157705331e-03,3.217506864476499029e+00
3.051282051282051544e-01,-4.233739518554102688e-03,3.206849112703110016e+00
3.153846153846153744e-01,-3.819967854411743247e-03,3.197303920666824784e+00
3.256410256410256499e-01,-3.454949175917931825e-03,3.188752978784267000e+00
3.358974358974359253e-01,-3.133312446138347696e-03,3.181085126569116017e+00
3.461538461538461453e-01,-2.849859161798917739e-03,3.174199685001203974e+00
3.564102564102563653e-01,-2.599736953072806500e-03,3.168005707153201733e+00
3.666666666666666963e-01,-2.378564789651704814e-03,3.162422013319984515e+00
3.769230769230769162e-01,-2.182489393788955567e-03,3.157377249465498359e+00
3.871794871794871362e-01,-2.008153519469146886e-03,3.152808781679735883e+00
3.974358974358974672e-01,-1.852646208405417383e-03,3.148661445521146351e+00
4.076923076923076872e-01,-1.713502722964221903e-03,3.144887872796751083e+00
4.179487179487179072e-01,-1.588587424308229856e-03,3.141446080101849336e+00
4.282051282051282382e-01,-1.476094169149178015e-03,3.138299859737856412e+00
4.384615384615384581e-01,-1.374480886823903347e-03,3.135417646297743666e+00
4.487179487179486781e-01,-1.282419769893294870e-03,3.132771606334293857e+00
4.589743589743590091e-01,-1.198788819664287075e-03,3.130337767492505030e+00
4.692307692307692291e-01,-1.122594148654343371e-03,3.128094374870663330e+00
4.794871794871794490e-01,-1.053010463820669429e-03,3.126023012426396797e+00
4.897435897435897800e-01,-9.893046073585765043e-04,3.124106983403025506e+00
5.000000000000000000e-01,-9.308512255756795639e-04,3.122331825364817792e+00
